german_credit,checking_status,duration,credit_history,purpose,credit_real,credit_amount,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,class
0,2,0,4,1526,1,0,0,0,0,0,2,35,0,1,0,2,0,1,0,1
0,3,1,0,3965,1,4,0,0,0,2,3,19,0,0,1,0,0,1,0,0
1,14,2,0,4771,1,2,1,0,0,0,1,32,0,0,1,0,0,1,0,1
2,17,3,4,9436,0,1,1,0,0,1,1,17,0,0,1,1,1,1,0,1
1,6,1,2,3832,1,4,1,3,0,3,1,1,0,0,1,0,0,1,0,1
2,4,1,0,5943,0,4,3,1,0,3,3,12,0,0,0,0,0,0,0,0
2,7,1,0,1213,2,0,0,0,0,2,1,36,2,0,1,0,0,0,0,1
2,12,1,5,1568,4,1,2,1,0,0,1,9,0,2,1,1,0,1,0,1
0,4,1,8,1755,1,0,0,1,1,0,0,26,0,0,1,1,0,0,0,1
0,9,1,0,2315,1,0,2,0,0,0,0,29,0,0,1,1,0,1,0,1
2,2,0,5,1412,1,1,0,1,1,1,0,28,0,0,0,2,0,0,0,1
1,12,0,2,1295,1,4,0,1,0,3,1,21,0,0,0,0,0,1,0,1
1,5,1,1,12612,4,1,3,0,0,0,2,36,0,1,1,0,1,0,0,0
0,12,1,3,2249,4,2,0,0,0,2,3,22,0,0,1,2,1,0,0,1
0,2,3,7,1108,1,2,0,0,0,2,0,7,0,0,0,0,0,1,0,0
2,2,0,0,618,1,0,0,0,0,0,0,37,0,0,1,0,0,1,0,1
0,2,0,4,1409,1,0,0,0,0,2,0,38,0,0,1,0,0,1,0,1
2,2,0,0,797,0,0,0,1,0,2,1,24,1,0,1,1,1,1,0,0
3,4,0,2,3617,0,0,0,0,2,0,2,39,0,2,0,0,0,1,0,1
1,2,1,3,1318,3,0,0,0,0,0,0,38,0,0,1,0,0,0,0,1
1,17,3,5,15945,1,4,2,0,0,0,2,26,0,2,1,0,0,0,0,0
2,2,0,1,2012,0,2,0,1,0,1,3,6,0,0,1,0,0,1,0,1
1,12,1,5,2622,4,1,0,0,0,0,3,19,0,0,1,0,0,1,0,1
1,5,0,0,2337,1,0,0,0,0,0,0,16,0,0,1,0,0,1,0,1
1,18,2,4,7057,0,2,2,0,0,0,1,16,1,2,0,2,1,0,0,1
2,4,1,3,1469,4,0,0,3,0,0,0,33,0,2,1,1,0,1,0,1
1,5,1,0,2323,1,2,0,0,0,0,3,9,0,2,1,0,0,1,0,1
2,0,2,0,932,1,1,2,1,0,1,0,9,0,0,1,0,0,1,0,1
1,8,0,2,1919,1,2,0,0,0,2,3,5,0,2,1,0,0,0,0,1
2,2,1,4,2445,0,4,1,3,0,0,3,15,0,2,1,0,0,0,0,1
1,4,0,8,11938,1,1,1,0,2,2,3,17,0,0,0,2,1,0,0,0
2,12,4,3,6458,1,0,1,0,0,0,2,17,1,0,0,2,1,0,0,0
1,2,1,3,6078,1,2,1,0,0,1,3,11,0,0,1,0,0,1,0,1
0,4,1,2,7721,0,4,3,1,0,1,1,22,0,0,1,0,0,0,1,1
1,19,1,5,1410,2,0,3,3,0,1,0,5,0,0,1,0,0,0,0,1
1,0,2,5,1449,4,0,3,2,0,1,3,13,1,0,0,0,1,1,0,1
3,7,1,1,392,1,4,0,1,0,0,1,27,0,2,1,0,0,0,0,1
1,12,1,3,6260,1,2,2,0,0,2,0,7,0,2,1,1,0,1,0,1
2,5,0,3,7855,1,1,0,1,0,1,0,8,2,0,0,0,0,0,0,0
0,2,1,0,1680,2,0,2,3,0,3,0,5,0,0,1,0,0,1,0,1
2,1,0,0,3578,0,0,0,0,0,3,0,36,0,0,1,0,0,0,0,1
0,3,1,0,7174,0,2,0,1,0,2,3,22,0,0,1,2,0,0,0,0
0,9,0,2,2132,0,4,1,1,2,2,0,21,0,2,0,0,0,1,1,1
0,20,0,2,4281,2,1,3,1,0,0,3,27,0,0,0,0,0,1,0,0
1,2,0,3,2366,2,2,2,2,0,2,3,16,0,0,1,2,0,0,0,1
0,21,1,0,1835,1,1,2,1,0,1,0,8,0,0,0,0,0,0,0,0
2,4,0,4,3868,1,0,0,1,0,1,3,33,0,2,0,2,0,0,0,1
2,2,1,2,1768,1,1,2,0,0,1,0,9,0,2,1,1,0,1,0,1
3,9,0,3,781,1,0,0,0,0,0,2,20,0,1,0,0,0,0,0,1
1,12,1,2,1924,0,4,0,1,0,2,0,21,0,2,1,0,0,1,0,0
0,2,0,3,2121,1,1,0,0,0,1,1,22,0,0,0,0,0,1,0,1
0,2,1,0,701,1,1,0,3,0,1,0,34,0,0,1,1,0,1,0,1
1,2,1,7,639,1,1,0,0,0,1,3,22,0,0,1,0,0,1,0,0
1,2,0,4,1860,1,3,0,0,0,1,3,19,0,0,0,2,0,0,0,1
0,2,0,3,3499,1,1,2,1,2,1,0,28,0,0,0,0,0,1,0,0
1,1,1,3,8487,0,2,3,1,0,1,3,9,0,0,1,0,0,1,0,1
0,5,2,1,6887,1,1,0,0,0,2,1,28,2,0,1,0,0,0,0,0
2,7,1,2,2708,1,4,1,0,0,2,1,21,1,0,0,1,0,1,0,1
2,12,1,2,1984,1,1,0,0,0,0,2,36,1,1,0,0,0,1,0,1
2,11,1,0,10144,4,2,1,1,0,0,0,40,0,0,1,0,0,0,0,1
2,2,0,0,1240,0,0,0,1,0,1,0,41,0,0,0,0,0,0,0,1
2,15,2,4,8613,3,1,1,0,0,1,3,21,0,0,0,0,0,1,0,1
1,2,1,0,766,2,1,0,0,0,2,0,35,0,0,1,1,0,1,0,0
1,7,0,0,2728,0,2,0,0,1,1,0,5,1,0,2,0,0,0,0,1
3,2,1,0,1881,1,1,1,1,0,1,3,12,0,2,1,1,0,0,0,1
3,0,1,3,709,3,4,1,3,0,1,0,21,0,0,1,3,0,1,1,1
1,5,1,0,4795,1,4,0,1,0,3,2,22,0,0,1,2,0,0,0,1
0,15,1,0,3416,1,1,2,0,0,1,3,21,0,0,1,2,0,1,0,1
0,12,1,2,2462,1,1,1,0,0,1,3,1,0,0,1,0,0,1,0,0
2,21,0,2,2288,1,4,0,1,0,0,1,27,0,0,1,0,0,0,0,1
1,1,4,5,3566,4,2,0,0,0,1,3,22,0,0,1,0,0,1,0,1
0,0,0,3,860,1,0,3,1,0,0,2,17,0,0,0,0,0,0,0,1
2,2,0,3,682,4,2,0,1,0,2,3,32,0,0,0,0,0,0,0,1
0,5,0,2,5371,1,1,2,0,1,1,1,7,0,0,0,0,0,1,0,1
2,12,0,0,1582,3,0,0,0,0,0,3,31,0,0,0,0,0,1,0,1
2,0,1,0,1346,4,0,1,0,0,0,2,18,1,1,1,0,1,0,0,1
2,9,1,0,1924,1,1,3,0,0,0,1,41,0,0,1,0,0,0,1,1
3,5,1,0,5848,1,1,0,0,0,3,3,9,0,0,1,0,0,1,0,1
1,4,0,4,7758,3,0,1,1,0,0,2,28,0,2,1,0,0,1,0,1
1,4,2,5,6967,4,2,0,0,0,0,3,16,0,2,1,2,0,0,0,1
0,2,1,2,1282,1,1,1,1,0,0,3,39,0,2,1,0,0,1,0,0
0,8,0,7,1288,4,0,2,0,1,0,0,14,0,0,0,0,1,1,1,1
0,2,4,9,339,1,0,0,3,0,3,3,3,1,0,1,1,0,1,0,1
1,4,1,3,3512,4,2,1,0,0,2,3,41,1,0,0,0,0,0,0,1
2,0,0,0,1898,0,1,3,0,0,1,0,19,0,0,0,1,1,1,0,1
2,4,0,0,2872,4,0,2,0,0,0,0,16,0,0,1,0,1,0,0,1
2,12,0,3,1055,1,4,0,1,0,3,1,22,0,0,0,0,0,1,0,1
2,7,1,6,1262,2,2,0,0,0,2,1,16,0,0,0,0,0,0,0,1
1,9,1,3,7308,1,3,1,0,0,0,2,42,1,1,1,2,0,0,0,1
2,5,1,3,909,2,0,0,0,0,0,1,16,0,0,1,0,0,1,0,1
2,0,1,2,2978,2,1,3,0,0,1,3,11,0,0,1,0,0,0,0,1
0,12,1,2,1131,1,3,0,1,0,1,3,24,0,0,1,0,0,1,0,0
1,14,1,2,1577,3,4,0,1,0,3,0,39,0,0,1,0,0,1,0,1
2,4,1,2,3972,1,2,1,1,0,0,1,8,0,2,1,0,0,0,0,1
1,4,0,5,1935,1,0,0,2,0,0,0,13,0,0,0,0,0,0,0,0
0,7,3,3,950,1,0,0,0,0,2,3,24,0,2,0,0,1,1,0,0
2,2,1,2,763,1,1,0,1,0,3,0,15,0,0,1,0,0,0,0,1
1,4,2,2,2064,1,3,2,1,0,1,1,19,0,0,1,2,0,0,0,0
1,16,1,0,1414,1,1,0,0,1,1,0,24,0,0,1,0,0,1,1,1
0,21,2,1,3414,1,4,1,0,0,3,1,15,0,0,0,0,0,1,0,0
2,6,4,4,7485,0,3,0,1,0,3,0,4,1,0,1,2,0,0,0,0
0,2,1,2,2577,1,1,1,2,0,3,3,18,0,0,1,0,0,1,0,1
0,0,0,0,338,2,0,0,0,0,0,3,29,0,0,0,0,0,1,0,1
2,2,1,0,1963,1,2,0,0,0,1,3,13,0,2,0,2,1,0,0,1
0,21,0,3,571,1,0,0,0,0,0,0,43,0,0,0,0,0,1,0,1
2,5,2,5,9572,1,4,3,2,0,3,3,7,0,0,0,0,0,1,0,0
1,5,2,5,4455,1,1,1,2,0,1,0,22,2,0,0,2,0,0,0,0
0,21,4,3,1647,0,1,0,0,0,1,1,34,0,0,0,1,1,1,0,0
2,4,0,2,3777,3,1,0,0,0,0,0,30,0,0,1,0,0,0,0,1
1,12,0,3,884,1,0,0,0,0,0,3,16,1,0,1,0,1,0,0,0
2,7,0,0,1360,1,1,0,0,0,1,1,13,0,0,0,0,0,1,0,1
1,8,4,4,5129,1,0,1,1,0,0,2,44,1,1,1,2,1,0,0,0
1,22,0,3,1175,1,3,1,0,0,2,3,45,0,1,2,3,0,0,0,1
0,2,1,0,674,4,2,0,3,0,3,1,39,0,0,1,0,0,1,0,0
1,12,3,2,3244,1,1,3,1,0,0,3,24,1,0,0,0,0,0,0,1
2,4,1,5,4591,3,1,1,0,0,2,1,38,0,0,2,2,0,0,0,0
1,1,3,5,3844,4,2,0,0,0,0,2,19,0,1,1,1,1,1,0,0
1,15,1,5,3915,1,1,0,0,0,1,3,16,0,0,1,0,1,0,0,0
2,0,1,0,2108,1,2,1,3,0,1,0,28,0,2,1,0,0,1,0,1
1,13,1,0,3031,4,1,0,0,1,0,1,40,0,2,1,0,0,1,0,0
1,8,0,1,1501,1,0,1,1,0,2,3,19,0,0,0,2,0,0,0,0
2,0,0,0,1382,1,1,3,1,0,3,3,7,0,0,0,0,0,0,0,1
1,2,1,2,951,4,4,0,1,0,0,3,21,1,2,3,0,0,1,0,0
1,4,1,4,2760,0,0,0,0,0,0,2,16,1,1,1,0,0,0,0,1
1,12,2,2,4297,1,0,0,2,0,2,2,34,0,0,1,2,0,0,0,0
2,8,0,1,936,2,0,0,0,0,1,3,29,0,0,0,0,0,0,0,1
0,2,1,3,1168,1,1,0,3,0,2,0,21,0,0,1,1,0,1,0,1
2,15,2,5,5117,1,2,2,0,0,0,3,15,0,0,0,0,0,1,0,1
0,2,1,9,902,1,2,0,3,0,0,1,40,0,2,1,0,0,1,0,0
2,2,0,3,1495,1,0,0,0,0,3,0,41,0,0,0,1,1,1,0,1
0,6,0,4,10623,1,0,2,0,0,0,2,41,0,1,2,2,1,0,0,1
2,2,0,2,1935,1,0,0,0,0,0,0,46,0,0,2,0,0,0,0,1
1,2,0,6,1424,1,2,0,0,0,2,1,15,0,0,1,0,0,1,0,1
0,4,1,5,6568,1,1,1,3,0,1,3,40,2,0,1,1,0,1,0,1
2,2,1,4,1413,3,2,2,0,0,1,1,47,0,0,1,0,0,1,1,1
2,8,0,0,3074,0,1,3,0,0,1,0,24,0,0,0,0,1,1,0,1
2,5,1,0,3835,0,0,1,1,0,0,0,3,0,0,1,1,0,0,0,1
0,15,3,5,5293,1,3,1,0,0,0,1,30,2,0,0,0,0,0,0,0
3,6,2,5,1908,1,0,0,0,0,0,0,35,0,0,1,2,0,0,0,0
2,5,0,0,3342,0,0,0,0,0,1,3,32,0,0,1,0,0,0,0,1
1,0,0,9,932,0,2,3,1,0,2,1,17,0,0,0,1,0,1,0,1
0,12,3,5,3104,1,2,2,0,0,3,1,13,1,0,1,0,0,0,0,1
3,5,1,0,3913,1,1,1,0,0,1,0,27,0,0,1,0,0,0,0,1
0,4,1,2,3021,1,1,1,2,0,1,0,9,0,2,1,1,0,1,0,1
2,9,1,3,1364,1,1,1,1,0,0,3,48,0,0,1,0,0,0,0,1
1,2,1,0,625,1,4,0,3,1,3,0,15,1,0,1,1,0,1,0,1
0,2,1,1,1200,0,1,0,1,0,0,1,27,1,2,1,0,0,0,0,1
2,2,1,0,707,1,1,0,0,0,1,0,22,1,0,0,0,0,1,0,1
2,4,2,5,2978,0,1,0,0,0,0,0,11,0,0,0,0,1,0,0,1
2,7,1,4,4657,1,1,2,0,0,1,3,22,0,0,1,0,0,0,0,1
2,5,3,7,2613,1,1,0,0,0,1,3,21,0,0,0,0,0,1,0,1
1,1,1,0,10961,3,2,3,0,2,1,2,21,1,0,0,0,0,0,0,0
0,2,1,2,7865,1,0,0,0,0,0,2,4,0,1,1,2,0,0,0,0
2,8,1,0,1478,1,2,0,0,0,1,3,1,0,0,1,0,0,1,0,0
0,4,1,2,3149,1,4,0,0,0,3,2,1,1,1,1,0,0,1,0,1
3,5,1,0,4210,1,1,0,0,0,1,3,15,0,0,1,0,0,1,0,0
2,8,1,3,2507,2,0,1,0,0,0,2,32,0,1,1,1,0,1,0,1
2,2,1,0,2141,4,2,2,0,0,3,2,5,0,0,1,0,0,1,0,1
1,12,1,0,866,1,1,0,3,1,1,0,8,0,0,1,1,0,1,0,1
2,23,0,0,1544,1,2,1,0,0,3,0,18,0,0,2,1,1,1,0,1
0,4,1,0,1823,1,3,0,0,0,1,3,22,2,0,1,2,1,1,0,0
1,0,1,3,14555,0,3,3,0,0,1,1,27,0,0,1,3,0,0,0,0
1,21,1,5,2767,4,0,0,2,0,1,3,6,1,2,0,1,0,1,0,0
2,2,0,0,1291,1,1,0,1,0,1,1,5,0,0,0,0,0,1,0,1
0,6,1,0,2522,1,0,3,0,1,2,1,17,0,0,1,0,1,1,0,1
0,4,1,3,915,0,0,0,1,0,1,3,28,1,0,1,0,0,1,0,0
2,0,1,0,1595,1,2,2,0,0,1,1,32,0,0,1,0,1,1,0,1
0,1,3,4,4605,1,0,2,0,0,0,2,9,0,1,0,0,1,1,0,0
2,2,0,5,1185,1,1,2,1,0,1,0,21,0,0,0,0,0,1,0,1
2,2,4,9,3447,2,1,0,1,0,2,0,5,0,0,1,1,1,1,0,1
2,4,1,5,1258,1,2,0,0,0,3,0,8,0,0,1,0,0,0,0,1
2,2,0,0,717,1,0,0,0,0,0,0,29,0,0,2,0,0,1,0,1
2,0,3,3,1204,4,1,0,0,0,3,2,5,1,2,1,0,0,1,1,1
3,4,1,2,1925,1,1,1,0,0,1,0,15,0,0,1,0,0,1,0,1
2,12,1,0,433,1,3,2,1,2,0,0,1,0,2,1,0,0,1,0,0
0,0,0,3,666,3,2,2,1,0,0,0,17,0,0,0,1,0,0,0,1
3,2,1,2,2251,1,1,3,1,0,1,3,31,0,0,1,1,0,1,0,1
1,6,1,3,2150,1,1,0,1,1,1,2,9,1,0,1,0,0,1,0,0
2,4,2,2,4151,4,1,1,0,0,2,1,5,0,0,0,0,0,1,0,1
1,8,1,2,2030,0,2,1,0,0,3,3,9,0,0,1,0,0,0,0,1
1,11,2,0,7418,0,1,3,0,0,3,0,21,0,0,1,1,0,1,0,1
2,4,0,0,2684,1,1,0,0,0,1,0,5,0,0,0,1,0,1,0,1
0,2,4,0,2149,1,1,0,2,0,3,2,28,0,1,1,0,0,1,0,0
2,7,1,4,3812,4,4,3,1,0,0,3,27,0,0,1,0,0,0,0,1
2,14,0,0,1154,4,3,0,1,0,0,0,23,0,0,2,1,0,1,0,1
0,2,1,2,1657,1,1,1,0,0,1,0,21,0,0,1,0,0,1,0,1
0,4,1,0,1603,1,0,0,1,0,0,3,47,0,0,1,0,0,1,0,1
0,12,0,3,5302,1,0,1,0,0,0,2,16,0,1,2,2,0,0,0,1
2,2,0,1,2748,1,0,1,1,0,0,2,23,1,1,2,1,0,1,0,1
2,9,0,3,1231,1,0,2,0,0,0,0,11,0,0,0,1,1,1,1,1
1,7,1,0,802,1,0,0,0,0,2,3,25,0,0,1,0,1,1,0,0
2,5,0,5,6304,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,1
2,4,1,0,1533,1,4,0,1,0,2,3,41,2,0,1,0,0,0,0,1
0,19,1,3,8978,1,0,3,2,0,0,1,3,0,0,1,2,0,0,1,0
2,4,1,0,999,0,0,0,0,0,1,3,8,0,0,0,0,0,1,0,1
2,12,1,3,2662,0,2,0,0,0,2,1,11,0,0,1,0,0,1,1,1
2,2,0,2,1402,2,2,2,1,0,0,3,25,0,2,1,0,0,0,0,1
1,1,4,3,12169,0,3,0,0,2,0,2,16,0,1,1,2,0,0,0,1
1,1,1,0,3060,1,2,0,0,0,0,0,7,0,0,0,0,0,1,0,0
0,6,1,7,11998,1,4,3,2,0,3,2,19,0,0,1,1,0,0,0,0
2,8,1,0,2697,1,1,3,0,0,1,0,11,0,0,1,0,1,1,0,1
2,12,0,0,2404,1,1,1,1,0,1,3,15,0,0,0,0,0,1,0,1
0,2,1,2,1262,0,0,1,2,0,0,1,2,0,0,1,1,0,0,0,1
2,0,1,2,4611,1,4,3,1,0,0,1,11,0,0,1,0,0,1,0,0
2,4,1,0,1901,4,1,0,0,0,0,3,28,0,2,1,2,0,0,0,1
2,7,0,4,3368,3,0,2,0,0,0,2,27,0,2,0,0,0,0,0,1
2,2,1,2,1574,1,1,0,0,0,1,0,30,0,0,1,0,0,1,0,1
3,12,4,0,1445,0,2,0,0,0,0,3,2,1,0,1,1,0,1,0,1
2,7,0,2,1520,0,0,0,0,0,0,1,20,0,0,1,0,0,1,0,1
1,4,0,3,3878,4,4,0,2,0,1,3,25,0,0,1,0,0,0,0,1
0,24,1,3,10722,1,4,3,1,0,3,0,5,0,0,1,1,0,0,0,1
0,1,1,4,4788,1,2,0,0,0,2,1,15,0,0,1,0,1,1,0,1
1,1,2,8,7582,4,3,1,0,0,0,2,13,0,1,1,2,0,0,0,1
1,2,1,0,1092,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,1
0,4,2,0,1024,1,4,0,3,0,0,0,14,2,0,1,0,0,1,0,0
2,2,1,5,1076,1,1,1,3,0,1,0,15,0,0,1,0,0,0,1,1
1,5,1,4,9398,1,4,3,3,0,0,3,7,0,2,1,2,0,0,0,0
0,4,0,4,6419,1,0,1,1,0,0,2,12,0,1,0,2,1,0,0,1
3,3,0,4,4796,1,0,0,0,0,0,2,37,0,1,1,0,0,1,0,1
2,1,0,5,7629,0,0,0,2,0,1,3,31,1,0,0,2,1,1,0,1
1,1,1,2,9960,1,4,3,1,0,1,3,15,0,0,1,0,0,0,0,0
2,2,1,4,4675,0,4,3,1,0,0,3,39,0,2,1,0,0,1,0,1
2,9,1,3,1287,0,0,0,0,2,1,1,3,0,0,1,1,0,1,1,1
2,12,1,2,2515,1,1,2,0,0,0,0,46,0,0,1,0,0,0,0,1
1,21,0,2,2745,3,2,2,0,0,1,3,11,0,0,0,0,0,0,0,1
2,0,1,3,672,1,3,3,1,0,0,0,38,0,0,1,3,0,0,0,1
1,5,3,0,3804,1,1,0,1,0,3,3,18,0,0,1,0,0,0,0,0
3,4,0,3,1344,0,2,0,0,0,1,0,25,1,0,0,1,1,1,0,0
0,9,0,3,1038,1,2,0,0,2,2,1,2,0,0,0,0,0,0,0,1
2,1,0,3,10127,2,1,1,0,0,1,2,12,1,1,1,0,0,1,0,0
2,0,1,2,1543,3,1,0,2,0,1,0,24,0,0,1,0,0,1,0,1
2,6,1,4,4811,0,2,1,1,0,0,1,9,2,2,1,1,0,1,0,1
0,2,1,0,727,4,4,0,3,0,2,2,24,0,0,1,1,0,0,0,0
1,16,1,2,1237,1,1,2,1,0,0,0,9,0,0,1,0,0,1,0,0
1,8,1,3,276,1,1,0,3,0,0,0,1,0,2,1,1,0,1,0,1
1,1,1,8,5381,0,3,2,0,0,0,2,34,1,1,1,3,0,0,0,1
2,4,1,2,5511,4,1,0,0,0,3,3,8,2,0,1,0,0,1,0,1
3,4,1,2,3749,1,4,1,1,0,0,3,15,0,0,1,0,0,1,0,1
1,2,1,3,685,1,2,1,3,0,2,3,8,1,0,1,1,0,1,0,0
3,23,1,3,1494,0,4,3,0,0,1,0,28,0,0,1,1,1,1,1,1
0,5,4,2,2746,1,0,0,0,0,0,3,13,1,0,1,0,0,1,0,0
0,2,1,2,708,1,1,1,0,1,2,1,41,0,0,1,1,1,1,0,1
1,4,1,2,4351,0,1,3,1,0,0,1,14,0,0,1,1,0,0,0,1
2,2,0,1,701,1,1,0,0,0,1,3,11,0,0,0,0,0,1,0,1
0,7,2,2,3643,1,0,3,1,0,0,1,21,0,0,0,1,0,1,0,1
1,6,0,3,4249,1,3,0,3,0,1,3,7,0,0,0,2,0,1,0,0
